oid,name,hid
3607,"Land Trust Of Santa Cruz County",174
3279,Biocom,176
309,"Sutter Health",176
4675,"Consumer Federation Of California",176
730,"Aetna, Inc.",176
1140,"Children'S Specialty Care Coalition",176
2230,"American Federation Of State, County & Municiple Employees (Afscme)",176
3744,"California Teamsters Public Affairs Council",176
916,Caloptima,176
118,"California Children'S Hospital Association",176
2417,"California Wic Association",176
303,"California Association Of Health Facilities",176
1017,"Osteopathic Physicians And Surgeons Of California",176
2006,"National Association Of Chain Drug Stores",176
5180,Covermymeds,176
247,"California Primary Care Association",176
247,"California Primary Care Association",176
247,"California Primary Care Association",176
247,"California Primary Care Association",176
247,"California Primary Care Association",176
247,"California Primary Care Association",176
17106,"Express Scripts Holding Company",176
29670,"American Health Insurance Plans",176
1192,"California Association Of Oral And Maxillofacial Surgeons",176
2289,"Amn Healthcare Inc.",176
66,"California Nurses Association",176
66,"California Nurses Association",176
66,"California Nurses Association",176
1673,"United Nurses Association Of California/Union Of Health Care Professionals",176
2230,"American Federation Of State, County & Municiple Employees (Afscme)",176
5614,"Health Net",176
869,"Blue Cross Of California (A Subsidiary Of Wellpoint Health Networks, Inc.)",176
3694,"California Conference Of Machinists",176
3696,"International Longshore And Warehouse Union, Coast Longshore Division",176
3743,"California Conference Board Of The Amalgamated Transit Union",176
938,"California Association For Health Services At Home",176
1099,"California Academy Of Family Physicians",176
1415,"California Society Of Anesthesiologists, Inc.",176
709,"Blue Shield Of California",176
1427,"Association Of California Life & Health Insurance Companies",176
1260,"Loma Linda University Medical Center",176
1305,"Private Essential Access Community Hospitals",176
1648,"Association Of Northern California Oncologists",176
1859,"Medical Oncology Association Of Southern California",176
319,"California Professional Firefighters",176
5913,"California Pan-Ethnic Health Network",176
420,"Peace Officers Research Association Of California",177
29,"Union Of American Physicians And Dentists",177
583,"County Of Los Angeles District Attorney'S Office",177
583,"County Of Los Angeles District Attorney'S Office",177
1073,"Friends Committee On Legislation Of California",177
1073,"Friends Committee On Legislation Of California",177
2542,"Crime Victims United Of California",177
4653,"California Attorneys For Criminal Justice",177
4653,"California Attorneys For Criminal Justice",177
4653,"California Attorneys For Criminal Justice",177
461,"Environmental Defense Fund",178
1760,"California Psychiatric Association",179
45,"Ford Motor Company",181
371,"Automobile Club Of Southern California/Interinsurance Exchange Of The Automobile Club/Acsc Management Services Inc.",181
671,"California Apartment Association",181
736,"Los Angeles Police Protective League",181
738,"Riverside Sheriffs' Association",181
746,"California Narcotic Officers' Association",181
2286,"California Association Of Code Enforcement Officers",181
4879,"California College And University Police Chiefs Association",181
2286,"California Association Of Code Enforcement Officers",181
2334,"Coalition For Clean Air",181
1560,"California Electric Transportation Coalition",181
1562,"California Hotel & Lodging Association",181
1560,"California Electric Transportation Coalition",181
986,"California School Boards Association",181
18882,"Volkswagen Group Of America, Inc.",181
2028,"California Association Of County Treasurers & Tax Collectors",181
4903,"The Internet Association",181
17274,"General Motors LLC",181
597,"Sacramento Metropolitan Air Quality Management District",181
3948,"San Diego County Apartment Association",181
8,"California State Association Of Counties",181
89,"California Chamber Of Commerce",181
231,"California Municipal Utilities Association",181
4664,"California State Firefighters' Association",181
3639,"California Airports Council",181
5628,Technet,181
2169,"Cal Start",181
5660,"Electronic Frontier Foundation",181
8,"California State Association Of Counties",182
736,"Los Angeles Police Protective League",182
4879,"California College And University Police Chiefs Association",182
4935,"Pharmaceutical Care Management Association",182
2529,"California State Sheriffs' Association",182
4680,"Capitol Advocacy, LLC",182
745,"California Police Chiefs Association",182
745,"California Police Chiefs Association",182
745,"California Police Chiefs Association",182
1817,"League Of California Cities",182
1817,"League Of California Cities",182
384,"Professional Engineers In California Government",183
2506,"Associated Builders And Contractors Of California",183
209,"Santa Clara Valley Transportation Authority",183
411,"Alameda-Contra Costa Transit District",183
4910,"Napa County Transportation And Planning Agency/Napa Valley Transportation Authority",183
5065,"California Association For Coordinated Transportation (Calact)",183
4678,"Amador County Transportation Commission",183
205,"Transportation California",183
4452,"Tahoe Transportation District",183
433,"California State Council Of Laborers",183
214,"State Building & Construction Trades Council Of California",183
675,"California Association Of Councils Of Governments",183
1389,"Sacramento, County Of",183
1817,"League Of California Cities",183
1817,"League Of California Cities",183
3286,"Howard Jarvis Taxpayers Association",183
1760,"California Psychiatric Association",184
731,"California Council Of Community Mental Health Agencies",184
732,"Mental Health Association In California",184
1437,"Google Inc.",184
703,"California Cotton Growers Association",184
711,"California Cotton Ginners Association",184
744,"California Association Of Nurseries And Garden Centers",184
773,"California Citrus Mutual",184
500,"California Chapter American College Of Emergency Physicians",184
2779,"Small Business California",184
986,"California School Boards Association",184
2028,"California Association Of County Treasurers & Tax Collectors",184
4903,"The Internet Association",184
170,"Regional Council Of Rural Counties (Rcrc) And Its Joint Powers Authorities",184
2090,"California Seed Association",184
2333,"California Grain & Feed Association",184
2388,"California Pear Growers",184
2090,"California Seed Association",184
2333,"California Grain & Feed Association",184
2388,"California Pear Growers",184
1014,"Los Angeles Unified School District",184
134,"California Continuing Care Residents Association",184
1248,"California Court Reporters Association",184
4653,"California Attorneys For Criminal Justice",184
4068,"California Asian Pacific Chamber Of Commerce",184
701,"California Farm Bureau Federation",184
153,"Consumer Attorneys Of California",184
930,"California Official Court Reporters Association",184
2036,"Knudsen & Associates",184
2279,"American Bail Coalition",184
2359,"Sacramento Regional County Sanitation District (Srcsd)",184
2583,"Engineers And Scientists Of California Local 20, Ifpte Afl-Cio & Clc",184
3151,"California Harness Horsemen'S Association",184
3693,"Jockeys' Guild, Inc.",184
3694,"California Conference Of Machinists",184
3695,"United Anglers",184
3696,"International Longshore And Warehouse Union, Coast Longshore Division",184
3697,"Coalition For Enhanced Marine Resources",184
3698,"Utility Workers Union Of America, Local 132",184
3740,"San Francisco Bay Area Water Emergency Transportation Authority",184
3743,"California Conference Board Of The Amalgamated Transit Union",184
3744,"California Teamsters Public Affairs Council",184
3749,"Professional & Technical Engineers, Local 21, Ifpte, Afl-Cio",184
4457,"Sportfishing Conservancy; The",184
17106,"Express Scripts Holding Company",184
2373,"California Cattlemen'S Association",184
2373,"California Cattlemen'S Association",184
1788,"National Association Of Social Workers, California Chapter",184
214,"State Building & Construction Trades Council Of California",184
2611,"National Federation Of Independent Business",184
380,"Urban Counties Caucus",184
89,"California Chamber Of Commerce",184
89,"California Chamber Of Commerce",184
529,"Agricultural Council Of California",184
529,"Agricultural Council Of California",184
1934,"Western Growers Association",184
2708,"Paramount Unified School District",184
1934,"Western Growers Association",184
2529,"California State Sheriffs' Association",184
1260,"Loma Linda University Medical Center",184
2442,"Adventist Health",184
1646,"Family Winemakers Of California",184
410,"Oakland Unified School District",184
523,"Torrance Unified School District",184
659,"Fresno Unified School District",184
1442,"California Judges Association",184
4653,"California Attorneys For Criminal Justice",184
4653,"California Attorneys For Criminal Justice",184
1500,"Compton Unified School District",184
5660,"Electronic Frontier Foundation",184
5660,"Electronic Frontier Foundation",184
808,"The Metropolitan Water District Of Southern California",186
1661,"Western Electrical Contractors Association (Weca-Iec)",186
3261,"Health Plan Of San Mateo",186
1004,"Westlands Water District",186
941,"California Retired Teachers Association",186
617,"County Of Stanislaus",186
214,"State Building & Construction Trades Council Of California",186
3723,"California Teachers Association",186
28,"California Faculty Association",186
1661,"Western Electrical Contractors Association (Weca-Iec)",187
4249,"Enhanced Capital Partners, Inc.",187
269,"Pacific Merchant Shipping Association",187
89,"California Chamber Of Commerce",187
1085,"California Manufacturers And Technology Association",187
1204,"California Business Properties Association",187
1204,"California Business Properties Association",187
2473,"California Bankers Association",187
2016,"American Promotional Events, Inc.",189
231,"California Municipal Utilities Association",189
161,"Western Manufactured Housing Communities Association",190
161,"Western Manufactured Housing Communities Association",190
161,"Western Manufactured Housing Communities Association",190
378,"California Association Of Local Housing Finance Agencies",190
115,"Santa Barbara Rental Property Association",190
35903,"Apartment Association of Greater Los Angeles",190
475,"Association Of Bay Area Governments",190
671,"California Apartment Association",190
1144,"Thousand Oaks, City Of",190
1179,"Lakewood, City Of",190
1183,"Folsom, City Of",190
2672,"Indian Wells, City Of",190
4369,"City Of Signal Hill",190
1005,"City Of San Diego",190
3948,"San Diego County Apartment Association",190
214,"State Building & Construction Trades Council Of California",190
181,"California Coalition For Rural Housing",190
3279,Biocom,190
2605,"California Association Of Realtors",190
458,"Apartment Association California Southern Cities",190
814,"Apartment Association Of Orange County",190
2605,"California Association Of Realtors",190
1693,"Civil Justice Association Of California",190
8,"California State Association Of Counties",190
905,"California Building Industry Association",190
671,"California Apartment Association",190
1817,"League Of California Cities",190
1817,"League Of California Cities",190
1476,"San Diego Community College District",191
2318,"Los Angeles Community College District",191
3704,"South Orange County Community College District",191
2407,"Hispanic Association Of Colleges And Universities (Hacu)",191
2413,"California Library Association",191
420,"Peace Officers Research Association Of California",192
3109,"Read & Associates, Aaron",192
704,"Association For Los Angeles Deputy Sheriffs",192
736,"Los Angeles Police Protective League",192
738,"Riverside Sheriffs' Association",192
4879,"California College And University Police Chiefs Association",192
4903,"The Internet Association",192
4903,"The Internet Association",192
301,"California Retailers Association",192
301,"California Retailers Association",192
2023,"Drug Policy Alliance Network",192
745,"California Police Chiefs Association",192
2223,"Wine Institute",193
2919,"American Association Of University Women-Ca",193
89,"California Chamber Of Commerce",193
1085,"California Manufacturers And Technology Association",193
1097,"California Grocers Association",193
3821,"California Employment Lawyers Association",193
230,"California School Employees Association",194
230,"California School Employees Association",194
230,"California School Employees Association",194
230,"California School Employees Association",194
230,"California School Employees Association",194
