vid,bid,date,billState,subject,state
CA_20150AB105899INT,CA_201520160AB1058,2015-02-26,Introduced,"Pupil safety: child abuse prevention: training. ",CA
CA_20150AB10598AMD,CA_201520160AB105,2015-06-16,"Amended Senate","Education finance: local control funding formula.",CA
CA_20150AB105995CHP,CA_201520160AB1059,2015-10-08,Chaptered,"California Communities Environmental Health Screening.",CA
CA_20150AB105996ENR,CA_201520160AB1059,2015-09-03,Enrolled,"California Communities Environmental Health Screening.",CA
CA_20150AB105997AMD,CA_201520160AB1059,2015-08-26,"Amended Senate","California Communities Environmental Health Screening.",CA
CA_20150AB105998AMD,CA_201520160AB1059,2015-06-24,"Amended Senate","California Communities Environmental Health Screening.",CA
CA_20150AB105999INT,CA_201520160AB1059,2015-02-26,Introduced,"California Communities Environmental Health Screening.",CA
CA_20150AB10599INT,CA_201520160AB105,2015-01-09,Introduced,"Budget Act of 2015.",CA
CA_20150AB106094ENR,CA_201520160AB1060,2015-09-14,Enrolled,"Cancer clinical trials.",CA
CA_20150AB106095AMD,CA_201520160AB1060,2015-08-31,"Amended Senate","Cancer clinical trials.",CA
CA_20150AB106096AMD,CA_201520160AB1060,2015-07-16,"Amended Senate","Cancer clinical trials.",CA
CA_20150AB106097AMD,CA_201520160AB1060,2015-06-17,"Amended Senate","Cancer clinical trials.",CA
CA_20150AB106098AMD,CA_201520160AB1060,2015-03-26,"Amended Assembly","Professions and vocations: licensure.",CA
CA_20150AB106099INT,CA_201520160AB1060,2015-02-26,Introduced,"Professions and vocations: licensure.",CA
CA_20150AB106197AMD,CA_201520160AB1061,2015-06-01,"Amended Assembly","Sacramento and San Joaquin Drainage District: powers.",CA
CA_20150AB106198AMD,CA_201520160AB1061,2015-04-29,"Amended Assembly","Sacramento and San Joaquin Drainage District: powers.",CA
CA_20150AB106199INT,CA_201520160AB1061,2015-02-26,Introduced,"Sacramento and San Joaquin Drainage District: powers.",CA
CA_20150AB106298AMD,CA_201520160AB1062,2015-04-07,"Amended Assembly","Environmental Justice Small Grant Program.",CA
CA_20150AB106299INT,CA_201520160AB1062,2015-02-26,Introduced,"Environmental Justice Small Grant Program.",CA
CA_20150AB106396AMD,CA_201520160AB1063,2015-08-17,"Amended Senate","Solid waste: charges.",CA
CA_20150AB106397AMD,CA_201520160AB1063,2015-07-15,"Amended Senate","Solid waste: charges.",CA
CA_20150AB106398AMD,CA_201520160AB1063,2015-04-20,"Amended Assembly","Solid waste: disposal facility: fees.",CA
CA_20150AB106399INT,CA_201520160AB1063,2015-02-26,Introduced,"Solid waste: disposal facility: fees.",CA
CA_20150AB106495CHP,CA_201520160AB1064,2015-09-28,Chaptered,"Education finance: indirect cost rates.",CA
CA_20150AB106496ENR,CA_201520160AB1064,2015-09-03,Enrolled,"Education finance: indirect cost rates.",CA
CA_20150AB106497AMD,CA_201520160AB1064,2015-07-16,"Amended Senate","Education finance: indirect cost rates.",CA
CA_20150AB106498AMD,CA_201520160AB1064,2015-03-26,"Amended Assembly","Education finance: indirect cost rates.",CA
CA_20150AB106499INT,CA_201520160AB1064,2015-02-26,Introduced,"Education finance: indirect cost rates.",CA
CA_20150AB106598AMD,CA_201520160AB1065,2015-04-15,"Amended Assembly","Employment: unfair practices.",CA
CA_20150AB106599INT,CA_201520160AB1065,2015-02-26,Introduced,"Employment: unfair practices.",CA
CA_20150AB106692CHP,CA_201520160AB1066,2016-09-12,Chaptered,"Agricultural workers: wages, hours, and working conditions.",CA
CA_20150AB106693ENR,CA_201520160AB1066,2016-08-30,Enrolled,"Agricultural workers: wages, hours, and working conditions.",CA
CA_20150AB106694AMD,CA_201520160AB1066,2016-08-17,"Amended Senate","Agricultural workers: wages, hours, and working conditions.",CA
CA_20150AB106695AMD,CA_201520160AB1066,2016-06-22,"Amended Senate","Agricultural workers: wages, hours, and working conditions.",CA
CA_20150AB106696AMD,CA_201520160AB1066,2016-06-14,"Amended Senate","Agricultural workers: wages, hours, and working conditions.",CA
CA_20150AB106697AMD,CA_201520160AB1066,2015-05-14,"Amended Assembly","Classified employees: short-term employees.",CA
CA_20150AB106698AMD,CA_201520160AB1066,2015-04-06,"Amended Assembly","Classified employees: nonemployee contractors: limited-term, short-term, and substitute employees.",CA
CA_20150AB106699INT,CA_201520160AB1066,2015-02-26,Introduced,"Classified employees: nonemployee contractors: limited-term, short-term, and substitute employees.",CA
CA_20150AB106790CHP,CA_201520160AB1067,2016-09-30,Chaptered,"Foster children: rights.",CA
CA_20150AB106791ENR,CA_201520160AB1067,2016-08-29,Enrolled,"Foster children: rights.",CA
CA_20150AB106792AMD,CA_201520160AB1067,2016-08-17,"Amended Senate","Foster children: rights.",CA
CA_20150AB106793AMD,CA_201520160AB1067,2016-08-01,"Amended Senate","Foster children: rights.",CA
CA_20150AB106794AMD,CA_201520160AB1067,2016-05-11,"Amended Senate","Foster children: rights.",CA
CA_20150AB106795AMD,CA_201520160AB1067,2016-05-03,"Amended Senate","Foster children: rights.",CA
CA_20150AB106796AMD,CA_201520160AB1067,2016-01-14,"Amended Assembly","Foster children: rights.",CA
CA_20150AB106797AMD,CA_201520160AB1067,2016-01-04,"Amended Assembly","Foster children: rights.",CA
CA_20150AB106798AMD,CA_201520160AB1067,2015-03-26,"Amended Assembly","Foster children: psychotropic medication.",CA
CA_20150AB106799INT,CA_201520160AB1067,2015-02-26,Introduced,"Child welfare.",CA
CA_20150AB106899INT,CA_201520160AB1068,2015-02-26,Introduced,"California Environmental Quality Act: priority projects.",CA
CA_20150AB10697AMD,CA_201520160AB106,2015-06-17,"Amended Senate","Human services.",CA
CA_20150AB10698AMD,CA_201520160AB106,2015-06-16,"Amended Senate","Human services.",CA
CA_20150AB106992CHP,CA_201520160AB1069,2016-09-13,Chaptered,"Prescription drugs: collection and distribution program.",CA
CA_20150AB106993ENR,CA_201520160AB1069,2016-08-25,Enrolled,"Prescription drugs: collection and distribution program.",CA
CA_20150AB106994AMD,CA_201520160AB1069,2016-08-15,"Amended Senate","Prescription drugs: collection and distribution program.",CA
CA_20150AB106995AMD,CA_201520160AB1069,2016-08-01,"Amended Senate","Prescription drugs: collection and distribution program.",CA
CA_20150AB106996AMD,CA_201520160AB1069,2015-07-01,"Amended Senate","Prescription drugs: collection and distribution program.",CA
CA_20150AB106997AMD,CA_201520160AB1069,2015-05-06,"Amended Assembly","Prescription drugs: collection and distribution program.",CA
CA_20150AB106998AMD,CA_201520160AB1069,2015-03-26,"Amended Assembly","Prescription drugs: collection and distribution program.",CA
CA_20150AB106999INT,CA_201520160AB1069,2015-02-26,Introduced,"Prescription drugs: collection and distribution program.",CA
CA_20150AB10699INT,CA_201520160AB106,2015-01-09,Introduced,"Budget Act of 2015.",CA
CA_20150AB107099INT,CA_201520160AB1070,2015-02-26,Introduced,Medi-Cal.,CA
CA_20150AB107194CHP,CA_201520160AB1071,2015-10-08,Chaptered,"Supplemental environmental projects.",CA
CA_20150AB107195ENR,CA_201520160AB1071,2015-09-09,Enrolled,"Supplemental environmental projects.",CA
CA_20150AB107196AMD,CA_201520160AB1071,2015-08-31,"Amended Senate","Supplemental environmental projects.",CA
CA_20150AB107197AMD,CA_201520160AB1071,2015-08-18,"Amended Senate","Supplemental environmental projects.",CA
CA_20150AB107198AMD,CA_201520160AB1071,2015-05-07,"Amended Assembly","Supplemental environmental projects.",CA
CA_20150AB107199INT,CA_201520160AB1071,2015-02-26,Introduced,"Supplemental environmental projects.",CA
CA_20150AB107291CHP,CA_201520160AB1072,2015-10-05,Chaptered,"Insurance: firefighters’ or police officers’ benefit and relief associations.",CA
CA_20150AB107292ENR,CA_201520160AB1072,2015-09-04,Enrolled,"Insurance: firefighters’ or police officers’ benefit and relief associations.",CA
CA_20150AB107293AMD,CA_201520160AB1072,2015-08-19,"Amended Senate","Insurance: firefighters’ or police officers’ benefit and relief associations.",CA
CA_20150AB107294AMD,CA_201520160AB1072,2015-07-02,"Amended Senate","Insurance: firefighters’ or police officers’ benefit and relief associations.",CA
CA_20150AB107295AMD,CA_201520160AB1072,2015-06-25,"Amended Senate","Insurance: firefighters’ or police officers’ benefit and relief associations.",CA
CA_20150AB107296AMD,CA_201520160AB1072,2015-06-10,"Amended Senate","Insurance: firefighters’ or police officers’ benefit and relief associations.",CA
CA_20150AB107297AMD,CA_201520160AB1072,2015-04-28,"Amended Assembly","Insurance: firefighters’ or police officers’ benefit and relief associations.",CA
CA_20150AB107298AMD,CA_201520160AB1072,2015-04-13,"Amended Assembly","Insurance: firefighters or police officers’ benefit and relief associations.",CA
CA_20150AB107299INT,CA_201520160AB1072,2015-02-27,Introduced,"Insurance: firefighters or police officers’ benefit and relief associations.",CA
CA_20150AB107391CHP,CA_201520160AB1073,2015-10-11,Chaptered,"Pharmacy: prescription drug labels.",CA
CA_20150AB107392ENR,CA_201520160AB1073,2015-09-14,Enrolled,"Pharmacy: prescription drug labels.",CA
CA_20150AB107393AMD,CA_201520160AB1073,2015-09-04,"Amended Senate","Pharmacy: prescription drug labels.",CA
CA_20150AB107394AMD,CA_201520160AB1073,2015-09-01,"Amended Senate","Pharmacy: prescription drug labels.",CA
CA_20150AB107395AMD,CA_201520160AB1073,2015-07-08,"Amended Senate","Pharmacy: prescription drug labels.",CA
CA_20150AB107396AMD,CA_201520160AB1073,2015-06-09,"Amended Senate","Pharmacy: prescription drug labels.",CA
CA_20150AB107397AMD,CA_201520160AB1073,2015-04-28,"Amended Assembly","Pharmacy: prescription drug labels.",CA
CA_20150AB107398AMD,CA_201520160AB1073,2015-04-06,"Amended Assembly","Pharmacy: prescription drug labels.",CA
CA_20150AB107399INT,CA_201520160AB1073,2015-02-27,Introduced,"Pharmacy: prescription drug labels.",CA
CA_20150AB107497AMD,CA_201520160AB1074,2015-04-15,"Amended Assembly","Alternative fuels: infrastructure.",CA
CA_20150AB107498AMD,CA_201520160AB1074,2015-03-26,"Amended Assembly","Alternative fuels: infrastructure.",CA
CA_20150AB107499INT,CA_201520160AB1074,2015-02-27,Introduced,"Natural gas: infrastructure.",CA
CA_20150AB107593CHP,CA_201520160AB1075,2015-10-02,Chaptered,"Hazardous waste: enforcement.",CA
CA_20150AB107594ENR,CA_201520160AB1075,2015-09-11,Enrolled,"Hazardous waste: enforcement.",CA
CA_20150AB107595AMD,CA_201520160AB1075,2015-09-02,"Amended Senate","Hazardous waste: enforcement.",CA
CA_20150AB107596AMD,CA_201520160AB1075,2015-09-01,"Amended Senate","Hazardous waste: enforcement.",CA
CA_20150AB107597AMD,CA_201520160AB1075,2015-06-18,"Amended Senate","Hazardous waste: enforcement.",CA
CA_20150AB107598AMD,CA_201520160AB1075,2015-05-13,"Amended Assembly","Hazardous waste: enforcement.",CA
CA_20150AB107599INT,CA_201520160AB1075,2015-02-27,Introduced,"Hazardous waste: enforcement.",CA
CA_20150AB107698AMD,CA_201520160AB1076,2015-04-06,"Amended Assembly","Food facilities: snack bars.",CA
CA_20150AB107699INT,CA_201520160AB1076,2015-02-27,Introduced,"Food facilities: snack bars.",CA
CA_20150AB107792CHP,CA_201520160AB1077,2015-10-09,Chaptered,"Mutual water companies: open meetings.",CA
CA_20150AB107793ENR,CA_201520160AB1077,2015-09-08,Enrolled,"Mutual water companies: open meetings.",CA
CA_20150AB107794AMD,CA_201520160AB1077,2015-08-31,"Amended Senate","Mutual water companies: open meetings.",CA
CA_20150AB107795AMD,CA_201520160AB1077,2015-06-22,"Amended Senate","Mutual water companies: open meetings.",CA
CA_20150AB107796AMD,CA_201520160AB1077,2015-05-18,"Amended Assembly","Mutual water companies: open meetings.",CA
CA_20150AB107797AMD,CA_201520160AB1077,2015-04-28,"Amended Assembly","Mutual water companies: open meetings.",CA
CA_20150AB107798AMD,CA_201520160AB1077,2015-04-07,"Amended Assembly","Mutual water companies: open meetings.",CA
CA_20150AB107799INT,CA_201520160AB1077,2015-02-27,Introduced,"Mutual water companies: open meetings.",CA
CA_20150AB107899INT,CA_201520160AB1078,2015-02-27,Introduced,"Teachers: evaluations.",CA
CA_20150AB10798AMD,CA_201520160AB107,2015-06-16,"Amended Senate","Personal income taxes: earned income credit.",CA
CA_20150AB107999INT,CA_201520160AB1079,2015-02-27,Introduced,"Successor agencies: due diligence review: finding of completion.",CA
CA_20150AB10799INT,CA_201520160AB107,2015-01-09,Introduced,"Budget Act of 2015.",CA
CA_20150AB108099INT,CA_201520160AB1080,2015-02-27,Introduced,"Redevelopment: enforceable obligations: military base reuse.",CA
CA_20150AB108193CHP,CA_201520160AB1081,2015-10-01,Chaptered,"Protective orders.",CA
CA_20150AB108194ENR,CA_201520160AB1081,2015-09-04,Enrolled,"Protective orders.",CA
CA_20150AB108195AMD,CA_201520160AB1081,2015-08-19,"Amended Senate","Protective orders.",CA
CA_20150AB108196AMD,CA_201520160AB1081,2015-07-07,"Amended Senate","Protective orders.",CA
CA_20150AB108197AMD,CA_201520160AB1081,2015-06-25,"Amended Senate","Protective orders.",CA
CA_20150AB108198AMD,CA_201520160AB1081,2015-05-11,"Amended Assembly","Protective orders.",CA
CA_20150AB108199INT,CA_201520160AB1081,2015-02-27,Introduced,"Protective orders.",CA
CA_20150AB108298AMD,CA_201520160AB1082,2015-03-26,"Amended Assembly","Bail forfeiture: motion to extend time.",CA
CA_20150AB108299INT,CA_201520160AB1082,2015-02-27,Introduced,"Bail forfeiture: prosecution costs.",CA
CA_20150AB108396CHP,CA_201520160AB1083,2015-08-12,Chaptered,"Political Reform Act of 1974: local enforcement.",CA
CA_20150AB108397ENR,CA_201520160AB1083,2015-07-08,Enrolled,"Political Reform Act of 1974: local enforcement.",CA
CA_20150AB108398AMD,CA_201520160AB1083,2015-03-26,"Amended Assembly","Political Reform Act of 1974: local enforcement.",CA
CA_20150AB108399INT,CA_201520160AB1083,2015-02-27,Introduced,"Political Reform Act of 1974: local campaign reform.",CA
CA_20150AB108496AMD,CA_201520160AB1084,2016-08-19,"Amended Senate","Charter schools: operation.",CA
CA_20150AB108497AMD,CA_201520160AB1084,2016-06-06,"Amended Senate","Charter schools: for-profit entities.",CA
CA_20150AB108498AMD,CA_201520160AB1084,2016-01-04,"Amended Assembly","Social workers: examination.",CA
CA_20150AB108499INT,CA_201520160AB1084,2015-02-27,Introduced,"Jobs and housing.",CA
CA_20150AB108596CHP,CA_201520160AB1085,2015-07-14,Chaptered,"Personal representatives: conservators and attorneys-in-fact.",CA
CA_20150AB108597ENR,CA_201520160AB1085,2015-06-29,Enrolled,"Personal representatives: conservators and attorneys-in-fact.",CA
CA_20150AB108598AMD,CA_201520160AB1085,2015-05-05,"Amended Assembly","Personal representatives: conservators and attorneys-in-fact.",CA
CA_20150AB108599INT,CA_201520160AB1085,2015-02-27,Introduced,"Personal representatives: conservators and attorneys-in-fact.",CA
CA_20150AB108698AMD,CA_201520160AB1086,2015-04-23,"Amended Assembly","Assignment of reimbursement rights.",CA
CA_20150AB108699INT,CA_201520160AB1086,2015-02-27,Introduced,"Assignment of reimbursement rights.",CA
CA_20150AB108799INT,CA_201520160AB1087,2015-02-27,Introduced,"Greenhouse Gas Reduction Fund: high-speed rail.",CA
CA_20150AB108897AMD,CA_201520160AB1088,2015-05-06,"Amended Assembly","Education facilities: bond act: Greene Act.",CA
CA_20150AB108898AMD,CA_201520160AB1088,2015-04-22,"Amended Assembly","Education facilities: bond act: Greene Act.",CA
CA_20150AB108899INT,CA_201520160AB1088,2015-02-27,Introduced,"School facilities: bond act: Greene Act.",CA
CA_20150AB10898AMD,CA_201520160AB108,2015-06-16,"Amended Senate","Postsecondary education: budget.",CA
CA_20150AB108997CHP,CA_201520160AB1089,2015-09-01,Chaptered,"Coachella Mountains Conservancy.",CA
CA_20150AB108998ENR,CA_201520160AB1089,2015-08-21,Enrolled,"Coachella Mountains Conservancy.",CA
CA_20150AB108999INT,CA_201520160AB1089,2015-02-27,Introduced,"Coachella Mountains Conservancy.",CA
CA_20150AB10899INT,CA_201520160AB108,2015-01-09,Introduced,"Budget Act of 2015.",CA
CA_20150AB109098AMD,CA_201520160AB1090,2015-04-14,"Amended Assembly","Sales and use taxes: exemption: reshoring jobs.",CA
CA_20150AB109099INT,CA_201520160AB1090,2015-02-27,Introduced,"Sales and use taxes: exemption: reshoring jobs.",CA
CA_20150AB109194CHP,CA_201520160AB1091,2015-10-08,Chaptered,"Student financial aid: Cal Grant Program.",CA
CA_20150AB109195ENR,CA_201520160AB1091,2015-09-09,Enrolled,"Student financial aid: Cal Grant Program.",CA
CA_20150AB109196AMD,CA_201520160AB1091,2015-06-01,"Amended Assembly","Student financial aid: Cal Grant Program.",CA
CA_20150AB109197AMD,CA_201520160AB1091,2015-04-30,"Amended Assembly","Student financial aid: Cal Grant Program.",CA
CA_20150AB109198AMD,CA_201520160AB1091,2015-03-26,"Amended Assembly","Student financial aid: Cal Grant Program.",CA
CA_20150AB109199INT,CA_201520160AB1091,2015-02-27,Introduced,"Student financial aid: California Community College Transfer Entitlement awards.",CA
CA_20150AB109296AMD,CA_201520160AB1092,2015-05-04,"Amended Assembly","Magnetic resonance imaging technologists.",CA
CA_20150AB109297AMD,CA_201520160AB1092,2015-04-20,"Amended Assembly","Magnetic resonance imaging technologists.",CA
CA_20150AB109298AMD,CA_201520160AB1092,2015-03-26,"Amended Assembly","Magnetic resonance imaging technologists.",CA
CA_20150AB109299INT,CA_201520160AB1092,2015-02-27,Introduced,"Public health: radiologic technologists.",CA
CA_20150AB109397CHP,CA_201520160AB1093,2015-08-17,Chaptered,"Public safety: supervised population workforce training: grant program.",CA
CA_20150AB109398ENR,CA_201520160AB1093,2015-07-08,Enrolled,"Public safety: supervised population workforce training: grant program.",CA
CA_20150AB109399INT,CA_201520160AB1093,2015-02-27,Introduced,"Public safety: supervised population workforce training: grant program.",CA
CA_20150AB109496AMD,CA_201520160AB1094,2015-05-12,"Amended Assembly","Energy usage: plug-in equipment.",CA
CA_20150AB109497AMD,CA_201520160AB1094,2015-04-29,"Amended Assembly","Energy usage: plug-in equipment.",CA
CA_20150AB109498AMD,CA_201520160AB1094,2015-04-06,"Amended Assembly","Energy usage: plug-in equipment.",CA
CA_20150AB109499INT,CA_201520160AB1094,2015-02-27,Introduced,"Energy usage: plug-in equipment.",CA
CA_20150AB109594CHP,CA_201520160AB1095,2015-10-09,Chaptered,"Salton Sea: restoration projects.",CA
CA_20150AB109595ENR,CA_201520160AB1095,2015-09-03,Enrolled,"Salton Sea: restoration projects.",CA
CA_20150AB109596AMD,CA_201520160AB1095,2015-07-07,"Amended Senate","Salton Sea: restoration projects.",CA
CA_20150AB109597AMD,CA_201520160AB1095,2015-06-01,"Amended Assembly","Salton Sea: restoration projects.",CA
CA_20150AB109598AMD,CA_201520160AB1095,2015-04-29,"Amended Assembly","Water Quality, Supply, and Infrastructure Improvement Act of 2014: restoration funding: Salton Sea.",CA
CA_20150AB109599INT,CA_201520160AB1095,2015-02-27,Introduced,"Water Quality, Supply, and Infrastructure Improvement Act of 2014: restoration funding: Salton Sea. ",CA
CA_20150AB1095ENR,CA_201520160AB10,2015-09-14,Enrolled,"Political Reform Act of 1974: economic interest disclosures.",CA
CA_20150AB109692CHP,CA_201520160AB1096,2015-10-07,Chaptered,"Vehicles: electric bicycles.",CA
CA_20150AB109693ENR,CA_201520160AB1096,2015-09-14,Enrolled,"Vehicles: electric bicycles.",CA
CA_20150AB109694AMD,CA_201520160AB1096,2015-09-04,"Amended Senate","Vehicles: electric bicycles.",CA
CA_20150AB109695AMD,CA_201520160AB1096,2015-06-15,"Amended Senate","Vehicles: electric bicycles.",CA
CA_20150AB109696AMD,CA_201520160AB1096,2015-04-29,"Amended Assembly","Vehicles: electric bicycles.",CA
CA_20150AB109697AMD,CA_201520160AB1096,2015-04-22,"Amended Assembly","Vehicles: electric bicycles.",CA
CA_20150AB109698AMD,CA_201520160AB1096,2015-03-26,"Amended Assembly","Vehicles: electric bicycles.",CA
CA_20150AB109699INT,CA_201520160AB1096,2015-02-27,Introduced,"Vehicles: motorized bicycles.",CA
CA_20150AB1096AMD,CA_201520160AB10,2015-08-27,"Amended Senate","Political Reform Act of 1974: economic interest disclosures.",CA
CA_20150AB109795CHP,CA_201520160AB1097,2015-10-02,Chaptered,"Alarm companies: electronic transactions. ",CA
CA_20150AB109796ENR,CA_201520160AB1097,2015-09-14,Enrolled,"Alarm companies: electronic transactions. ",CA
CA_20150AB109797AMD,CA_201520160AB1097,2015-09-04,"Amended Senate","Alarm companies: electronic transactions. ",CA
CA_20150AB109798AMD,CA_201520160AB1097,2015-05-11,"Amended Assembly","Alarm companies: electronic transactions. ",CA
CA_20150AB109799INT,CA_201520160AB1097,2015-02-27,Introduced,"Alarm companies: electronic transactions. ",CA
CA_20150AB1097AMD,CA_201520160AB10,2015-07-14,"Amended Senate","Political Reform Act of 1974: behested payments and economic interest disclosures.",CA
CA_20150AB109898AMD,CA_201520160AB1098,2015-03-26,"Amended Assembly","Transportation: congestion management.",CA
CA_20150AB109899INT,CA_201520160AB1098,2015-02-27,Introduced,"Transportation: congestion management.",CA
CA_20150AB1098AMD,CA_201520160AB10,2015-04-07,"Amended Assembly","Political Reform Act of 1974: behested payments and economic interest disclosures.",CA
CA_20150AB10998AMD,CA_201520160AB109,2015-06-16,"Amended Senate"," Developmental Services.",CA
CA_20150AB109997AMD,CA_201520160AB1099,2015-07-08,"Amended Senate","School accountability: teacher evaluations.",CA
CA_20150AB109998AMD,CA_201520160AB1099,2015-05-06,"Amended Assembly","School accountability: local control and accountability plans: teacher evaluations.",CA
CA_20150AB109999INT,CA_201520160AB1099,2015-02-27,Introduced,"School accountability: local control and accountability plans: teacher evaluations.",CA
CA_20150AB10999INT,CA_201520160AB109,2015-01-09,Introduced,"Budget Act of 2015.",CA
CA_20150AB1099INT,CA_201520160AB10,2014-12-01,Introduced,"Political Reform Act of 1974: economic interest disclosures.",CA
CA_20150AB110094CHP,CA_201520160AB1100,2015-09-01,Chaptered,"Ballot initiatives: filing fees.",CA
CA_20150AB110095ENR,CA_201520160AB1100,2015-08-21,Enrolled,"Ballot initiatives: filing fees.",CA
CA_20150AB110096AMD,CA_201520160AB1100,2015-07-09,"Amended Senate","Ballot initiatives: filing fees.",CA
CA_20150AB110097AMD,CA_201520160AB1100,2015-06-19,"Amended Senate","Ballot initiatives: filing fees.",CA
CA_20150AB110098AMD,CA_201520160AB1100,2015-03-24,"Amended Assembly","Ballot initiatives: filing fees.",CA
CA_20150AB110099INT,CA_201520160AB1100,2015-02-27,Introduced,"Crimes: criminal threats.",CA
CA_20150AB110193CHP,CA_201520160AB1101,2015-08-11,Chaptered,"Pupil school enrollment: residency requirements: policy on investigations.",CA
CA_20150AB110194ENR,CA_201520160AB1101,2015-07-21,Enrolled,"Pupil school enrollment: residency requirements: policy on investigations.",CA
CA_20150AB110195AMD,CA_201520160AB1101,2015-07-01,"Amended Senate","Pupil school enrollment: residency requirements: policy on investigations.",CA
CA_20150AB110196AMD,CA_201520160AB1101,2015-06-17,"Amended Senate","Pupil school enrollment: residency requirements: policy on investigations.",CA
CA_20150AB110197AMD,CA_201520160AB1101,2015-05-20,"Amended Assembly","Pupil school enrollment: residency requirements: policy on investigations.",CA
CA_20150AB110198AMD,CA_201520160AB1101,2015-05-05,"Amended Assembly","Pupil school enrollment: residency requirements: policy on investigations.",CA
CA_20150AB110199INT,CA_201520160AB1101,2015-02-27,Introduced,"Pupil school enrollment: residency requirements: investigation.",CA
CA_20150AB110294AMD,CA_201520160AB1102,2016-06-21,"Amended Senate","Hazardous waste facilities: inspections.",CA
CA_20150AB110295AMD,CA_201520160AB1102,2015-07-09,"Amended Senate","Health care coverage: Medi-Cal Access Program: disclosures.",CA
CA_20150AB110296AMD,CA_201520160AB1102,2015-06-03,"Amended Assembly","Health care coverage: special enrollment periods: triggering event.",CA
CA_20150AB110297AMD,CA_201520160AB1102,2015-05-05,"Amended Assembly","Health care coverage: special enrollment periods: triggering event.",CA
CA_20150AB110298AMD,CA_201520160AB1102,2015-03-26,"Amended Assembly","Health care coverage: special enrollment periods: triggering event.",CA
CA_20150AB110299INT,CA_201520160AB1102,2015-02-27,Introduced,"Residential care facilities for the elderly.",CA
CA_20150AB110392CHP,CA_201520160AB1103,2016-09-22,Chaptered,"Solid waste disposal: self-haulers.",CA
CA_20150AB110393ENR,CA_201520160AB1103,2016-08-29,Enrolled,"Solid waste disposal: self-haulers.",CA
CA_20150AB110394AMD,CA_201520160AB1103,2016-06-06,"Amended Senate","Solid waste disposal: self-haulers.",CA
CA_20150AB110395AMD,CA_201520160AB1103,2016-06-01,"Amended Senate","Solid waste: disposal.",CA
CA_20150AB110396AMD,CA_201520160AB1103,2016-05-11,"Amended Senate","Solid waste: disposal.",CA
CA_20150AB110397AMD,CA_201520160AB1103,2015-07-16,"Amended Senate","Solid waste: organic waste.",CA
CA_20150AB110398AMD,CA_201520160AB1103,2015-05-19,"Amended Assembly","Solid waste: organic waste.",CA
CA_20150AB110399INT,CA_201520160AB1103,2015-02-27,Introduced,"Solid waste: organic waste.",CA
CA_20150AB110495CHP,CA_201520160AB1104,2015-07-16,Chaptered,"Search warrants.",CA
CA_20150AB110496ENR,CA_201520160AB1104,2015-07-02,Enrolled,"Search warrants.",CA
CA_20150AB110497AMD,CA_201520160AB1104,2015-06-23,"Amended Senate","Search warrants.",CA
CA_20150AB110498AMD,CA_201520160AB1104,2015-04-23,"Amended Assembly","Search warrants.",CA
CA_20150AB110499INT,CA_201520160AB1104,2015-02-27,Introduced,"Search warrants.",CA
CA_20150AB110598AMD,CA_201520160AB1105,2016-06-21,"Amended Senate","Unfair business practices: enforcement: city attorneys.",CA
CA_20150AB110599INT,CA_201520160AB1105,2015-02-27,Introduced,"Subdivided lands: release of performance security.",CA
CA_20150AB110698AMD,CA_201520160AB1106,2016-01-04,"Amended Assembly","Criminal procedure: arraignment pilot program.",CA
CA_20150AB110699INT,CA_201520160AB1106,2015-02-27,Introduced,"Department of Conservation: Director of Conservation.",CA
CA_20150AB110795CHP,CA_201520160AB1107,2015-09-03,Chaptered,"Sellers of travel: regulation.",CA
CA_20150AB110796ENR,CA_201520160AB1107,2015-08-21,Enrolled,"Sellers of travel: regulation.",CA
CA_20150AB110797AMD,CA_201520160AB1107,2015-04-08,"Amended Assembly","Sellers of travel: regulation.",CA
CA_20150AB110798AMD,CA_201520160AB1107,2015-03-26,"Amended Assembly","Sellers of travel: regulation.",CA
CA_20150AB110799INT,CA_201520160AB1107,2015-02-27,Introduced,"Sellers of travel: regulation.",CA
CA_20150AB110895AMD,CA_201520160AB1108,2016-08-16,"Amended Senate","Zero-emission vehicles.",CA
CA_20150AB110896AMD,CA_201520160AB1108,2016-06-28,"Amended Senate","Beverage containers: recycling.",CA
CA_20150AB110897AMD,CA_201520160AB1108,2015-05-05,"Amended Assembly","Beverage containers: recycling.",CA
CA_20150AB110898AMD,CA_201520160AB1108,2015-03-26,"Amended Assembly","Beverage Containers: recycling.",CA
CA_20150AB110899INT,CA_201520160AB1108,2015-02-27,Introduced,"Clean energy: financial assistance.",CA
CA_20150AB11098AMD,CA_201520160AB110,2015-06-16,"Amended Senate","Public Resources.",CA
CA_20150AB110999INT,CA_201520160AB1109,2015-02-27,Introduced," Legislature: health benefits coverage.",CA
CA_20150AB11099INT,CA_201520160AB110,2015-01-09,Introduced,"Budget Act of 2015.",CA
CA_20150AB111092CHP,CA_201520160AB1110,2016-09-26,Chaptered,"Greenhouse gases emissions intensity reporting: retail electricity suppliers.",CA
CA_20150AB111093ENR,CA_201520160AB1110,2016-09-02,Enrolled,"Greenhouse gases emissions intensity reporting: retail electricity suppliers.",CA
CA_20150AB111094AMD,CA_201520160AB1110,2016-08-19,"Amended Senate","Greenhouse gases emissions intensity reporting: retail electricity suppliers.",CA
